Lutz Heuser,SAP Corporate Research Walldorf,The Relevance of Management of Business Processes and Orchestration,2009,no Author no Title,no Date,0,0,0,1
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Friesen, N. Three Objections to Learning Objects and E-Learning Standards",2004,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fürlinger, S., Auinger, A., Stary, C. Interactive Annotations in Web-based Learning Environments",2004,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fürlinger, S., Auinger, A., Stary, C. Interactive Annotations in Web-based Learning Environments",2004,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Hevner, A.R., March, S.T., Park, J., Ram, S. Design Science in Information Systems Research",2004,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Hevner, A.R., March, S.T., Park, J., Ram, S. Design Science in Information Systems Research",2004,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Kienle, A., Herrmann, T. Integration von Kommunikation und Kooperation an Hand von Lernmaterial – ein Leitbild für die Funktionalität kollaborativer Lernumgebungen",2002,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Kienle, A., Herrmann, T. Integration von Kommunikation und Kooperation an Hand von Lernmaterial – ein Leitbild für die Funktionalität kollaborativer Lernumgebungen",2002,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Koch, M., Richter, A. Enterprise 2",2007,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Koch, M., Richter, A. Enterprise 2",2007,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozess-management, HMD – Praxis der Wirtschaftsinformatik",2009,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozess-management, HMD – Praxis der Wirtschaftsinformatik",2009,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Stary, C. Intelligibility Catchers for Self-Managed Knowledge Transfer",2007,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Stary, C. Intelligibility Catchers for Self-Managed Knowledge Transfer",2007,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Wenger, E., McDermott, R., Snyder, W. Cultivating Communities of Practice – a Guide to Managing Knowledge",2002,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Wenger, E., McDermott, R., Snyder, W. Cultivating Communities of Practice – a Guide to Managing Knowledge",2002,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Carr, N.G. Does IT matter? Information technology and the corrosion of competitive advantage",2004,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Carr, N.G. Does IT matter? Information technology and the corrosion of competitive advantage",2004,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Hammer, M., Champy, J. Reengineering The Corporation - A Manifesto for Business Revolution Harper Business ",1993,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Hammer, M., Champy, J. Reengineering The Corporation - A Manifesto for Business Revolution Harper Business ",1993,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Hammer, M. The agenda: What every business must do to dominate the decade",2001,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Hammer, M. The agenda: What every business must do to dominate the decade",2001,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Kosiol, E. Organisation der Unternehmung",1962,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Kosiol, E. Organisation der Unternehmung",1962,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H., Fingar, P. IT Doesn’t Matter – Business Processes Do",2003,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H., Fingar, P. IT Doesn’t Matter – Business Processes Do",2003,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Taylor, F.W. The Principles of Scientific Management Harper & Bros",1911,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Taylor, F.W. The Principles of Scientific Management Harper & Bros",1911,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, A. Wealth of Nations Prometheus Books, New York ",1991,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, A. Wealth of Nations Prometheus Books, New York ",1991,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Davenport, T.H. Process Innovation – Reengineering Work through Information Technology",1993,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Davenport, T.H. Process Innovation – Reengineering Work through Information Technology",1993,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Porter, M.E. Competitive advantage: Creating and sustaining superior performance",1985,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Porter, M.E. Competitive advantage: Creating and sustaining superior performance",1985,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Weske, M. Business Process Management",2007,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Weske, M. Business Process Management",2007,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Dijkman, R.M., Dumas, M., Ouyang, C. Semantics and analysis of business process models in BPMN",1281,0,0,1,1
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Dijkman, R.M., Dumas, M., Ouyang, C. Semantics and analysis of business process models in BPMN",1281,0,0,1,1
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Russell, N., ter Hofstede, A.H.M., van der Aalst, W.M.P., Mulyar, N. Workflow Control-Flow Patterns: A Revised Review, BPM Center Report BPM- 06-22 ",2006,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Russell, N., ter Hofstede, A.H.M., van der Aalst, W.M.P., Mulyar, N. Workflow Control-Flow Patterns: A Revised Review, BPM Center Report BPM- 06-22 ",2006,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"van der Aalst, W., van Hee, K. Workflow Management",2004,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"van der Aalst, W., van Hee, K. Workflow Management",2004,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"van der Aalst, W.M.P., ter Hofstede, A.H.M. YAWL: Yet Another Workflow Language",2005,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"van der Aalst, W.M.P., ter Hofstede, A.H.M. YAWL: Yet Another Workflow Language",2005,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,ISO/IEC 19502 005 Information technology – Meta Object Facility ,2019,0,0,1,1
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,ISO/IEC 19502 005 Information technology – Meta Object Facility ,2019,0,0,1,1
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subject-Oriented Business Process Management",2009,1,1,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subject-Oriented Business Process Management",2009,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H., Fingar, P. Business Process Management – the third wave",2007,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H., Fingar, P. Business Process Management – the third wave",2007,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H. Business process management the third wave: business process modelling language ",1065,0,0,1,1
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H. Business process management the third wave: business process modelling language ",1065,0,0,1,1
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H., Fingar, P. Workflow is just a Pi process, White Paper ",2002,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Smith, H., Fingar, P. Workflow is just a Pi process, White Paper ",2002,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Zilio, D.S. Mobile Processes: a Commented Bibliography",1998,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Zilio, D.S. Mobile Processes: a Commented Bibliography",1998,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Milner, R., Parrow, J., Walker, D. A calculus of mobile processes, Part I/II",1992,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Milner, R., Parrow, J., Walker, D. A calculus of mobile processes, Part I/II",1992,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Hoare, C.A.R. Communicating Sequencial Processes",1985,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Hoare, C.A.R. Communicating Sequencial Processes",1985,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Puhlmann, F. Why Do We Actually Need the Pi-Calculus for Business Process Management? In: Abramowicz, W",2006,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Puhlmann, F. Why Do We Actually Need the Pi-Calculus for Business Process Management? In: Abramowicz, W",2006,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Puhlmann, F., Weske, M. A Look Around the Corner: The Pi-Calculus",5460,0,0,1,1
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Puhlmann, F., Weske, M. A Look Around the Corner: The Pi-Calculus",5460,0,0,1,1
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"van der Aalst, W.M.P. Why Workow is NOT just a Pi process, White Paper ",2002,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"van der Aalst, W.M.P. Why Workow is NOT just a Pi process, White Paper ",2002,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Fleischmann, A. Distributed Systems – Software design and Implementations",1994,1,1,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Fleischmann, A. Distributed Systems – Software design and Implementations",1994,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Reinertsen, D.G. Managing the Design Factory",1997,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Reinertsen, D.G. Managing the Design Factory",1997,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Singer, R. Integration of Microsoft Dynamics NAV 2009 with Process Management Suite jCOM1",2009,1,1,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Singer, R. Integration of Microsoft Dynamics NAV 2009 with Process Management Suite jCOM1",2009,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Homann, U. A Business-Oriented Foundation for Service Orientation, Microsoft Corporation ",2006,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Homann, U. A Business-Oriented Foundation for Service Orientation, Microsoft Corporation ",2006,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Ortner, W., Tschandl, M., Zinser, E. Potentials of Service-Oriented Architectures",2007,1,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Ortner, W., Tschandl, M., Zinser, E. Potentials of Service-Oriented Architectures",2007,1,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Sehmi, A., Schwegler, B. Service-Oriented Modeling for Connected Systems - Part 1, Microsoft Corporation",2006,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Sehmi, A., Schwegler, B. Service-Oriented Modeling for Connected Systems - Part 1, Microsoft Corporation",2006,0,0,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Lazar, I. Unified Communications: What, Why and How? What Value Can Unified Communications Bring to Your Enterprise ",2007,0,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Lazar, I. Unified Communications: What, Why and How? What Value Can Unified Communications Bring to Your Enterprise ",2007,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,BMWi TEXO – Business Webs in the Internet of Services ,2009,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,BMWi TEXO – Business Webs in the Internet of Services ,2009,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Lees, M. BPM Done Right: 15 Ways To Succeed Where Others Have Failed",2008,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Lees, M. BPM Done Right: 15 Ways To Succeed Where Others Have Failed",2008,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Olding, E., Cantara, M. Highlights from BPM Summit",2009,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Olding, E., Cantara, M. Highlights from BPM Summit",2009,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Savvas, A. Cultural Resistance Main Cause of BPM Project Failure",2005,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Savvas, A. Cultural Resistance Main Cause of BPM Project Failure",2005,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Konjack, G., Heckmaier, M. AST – Order Control Process",2010,1,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Konjack, G., Heckmaier, M. AST – Order Control Process",2010,1,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Fleischmann, A., Lippe, S., Meyer, N., Stary, C. Coherent Task Modeling and Execution Based on Subject-Oriented Representations",5963,1,1,1,1
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Fleischmann, A., Lippe, S., Meyer, N., Stary, C. Coherent Task Modeling and Execution Based on Subject-Oriented Representations",5963,1,1,1,1
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Milner, R. (ed.) Communication and Concurrency",1995,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Milner, R. (ed.) Communication and Concurrency",1995,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,jCOM1 Welcome to the Future of BPM: S-BPM ,2010,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,jCOM1 Welcome to the Future of BPM: S-BPM ,2010,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,NACE Revision 2 ,2010,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,NACE Revision 2 ,2010,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Aitenbichler, E. Entwurf und Implementierung eines programmierten Graphersetzungssystems in Java",2000,1,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Aitenbichler, E. Entwurf und Implementierung eines programmierten Graphersetzungssystems in Java",2000,1,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,CWB-NC The Concurrency Workbench of the New Century ,2000,0,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,CWB-NC The Concurrency Workbench of the New Century ,2000,0,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Koning, M., Sun, C., Sinnema, M., Avgeriou, P. VxBPEL: Supporting Variability for Web Services in BPEL",2009,0,0,1,0
