Lutz Heuser,SAP Corporate Research Walldorf,2009,The Relevance of Management of Business Processes and Orchestration,no Author no Title,no Date,0,0,1
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Dijkman, R.M., Dumas, M., Ouyang, C. Semantics and analysis of business process models in BPMN",1281,0,0,1
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Russell, N., ter Hofstede, A.H.M., van der Aalst, W.M.P., Mulyar, N. Workflow Control-Flow Patterns: A Revised Review, BPM Center Report BPM- 06-22 ",2006,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"van der Aalst, W., van Hee, K. Workflow Management",2004,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"van der Aalst, W.M.P., ter Hofstede, A.H.M. YAWL: Yet Another Workflow Language",2005,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,ISO/IEC 19502 005 Information technology – Meta Object Facility ,2019,0,0,1
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Schmidt, W., Fleischmann, A., Gilbert, O. Subject-Oriented Business Process Management",2009,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Smith, H., Fingar, P. Business Process Management – the third wave",2007,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Smith, H. Business process management the third wave: business process modelling language ",1065,0,0,1
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Smith, H., Fingar, P. Workflow is just a Pi process, White Paper ",2002,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Zilio, D.S. Mobile Processes: a Commented Bibliography",1998,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Milner, R., Parrow, J., Walker, D. A calculus of mobile processes, Part I/II",1992,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Hoare, C.A.R. Communicating Sequencial Processes",1985,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Puhlmann, F. Why Do We Actually Need the Pi-Calculus for Business Process Management? In: Abramowicz, W",2006,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Puhlmann, F., Weske, M. A Look Around the Corner: The Pi-Calculus",5460,0,0,1
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"van der Aalst, W.M.P. Why Workow is NOT just a Pi process, White Paper ",2002,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Fleischmann, A. Distributed Systems – Software design and Implementations",1994,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Reinertsen, D.G. Managing the Design Factory",1997,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Singer, R. Integration of Microsoft Dynamics NAV 2009 with Process Management Suite jCOM1",2009,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Homann, U. A Business-Oriented Foundation for Service Orientation, Microsoft Corporation ",2006,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Ortner, W., Tschandl, M., Zinser, E. Potentials of Service-Oriented Architectures",2007,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Sehmi, A., Schwegler, B. Service-Oriented Modeling for Connected Systems - Part 1, Microsoft Corporation",2006,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Lazar, I. Unified Communications: What, Why and How? What Value Can Unified Communications Bring to Your Enterprise ",2007,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,BMWi TEXO – Business Webs in the Internet of Services ,2009,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Lees, M. BPM Done Right: 15 Ways To Succeed Where Others Have Failed",2008,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Olding, E., Cantara, M. Highlights from BPM Summit",2009,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Savvas, A. Cultural Resistance Main Cause of BPM Project Failure",2005,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Konjack, G., Heckmaier, M. AST – Order Control Process",2010,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Fleischmann, A., Lippe, S., Meyer, N., Stary, C. Coherent Task Modeling and Execution Based on Subject-Oriented Representations",5963,0,0,1
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Milner, R. (ed.) Communication and Concurrency",1995,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,jCOM1 Welcome to the Future of BPM: S-BPM ,2010,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,NACE Revision 2 ,2010,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Aitenbichler, E. Entwurf und Implementierung eines programmierten Graphersetzungssystems in Java",2000,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,CWB-NC The Concurrency Workbench of the New Century ,2000,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Koning, M., Sun, C., Sinnema, M., Avgeriou, P. VxBPEL: Supporting Variability for Web Services in BPEL",2009,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Huangfu, X., Shu, Z., Chen, H., Luo, X. Research on Dynamic Service Composition Based on Object Petri Net for the Networked Information System",1075,0,0,1
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Wu, Z., Deng, S., Li, Y., Wu, J. Computing Compatibility in Dynamic Service Composition",2008,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Bordeaux, L., Salaun, S., Berardi, D., Mecella, M. When are Two Web Services Compatible",2004,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Lapadula, A., Pugliese, R., Tiezzi, F. A Calculus for Orchestration of Web Services",2007,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Guidi, C., Lucchi, R., Gorrieri, R., Busi, N., Zavattaro, G. SOCK: A Calculus for Service Oriented Computing",2006,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Agarwal, S., Rudolph, S., Abecker, A. Semantic Description of Distributed Business Processes",2008,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Markovic, I., Pereira, A.C., Stojanovic, N. A Framework for Querying in Business Process Modelling",1703,0,0,1
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Canfora, G., Penta, M.D., Lombardi, P., Villani, M.L. Dynamic Composition of Web Applications in Human-Centered Processes",2009,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Schall, D., Truong, H.L., Dustdar, S. Unifying Human and Software Services in Web-Scale Collaborations",2008,0,0,0
Erwin Aitenbichler and Stephan Borgert,Technische Universität Darmstadt Darmstadt,2009,Application of Subject-Oriented Modeling in Automatic Service Composition,"Soriano, J., Lizcano, D., Hierro, J.J., Reyes, M., Schroth, C., Janner, T. Enhancing User-Service Interaction through a Global User-Centric Approach to SOA",2008,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Silver, B. BPMS Watch: Make Way for BPM 2",2006,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Roychowdhury, P., Dasgupta, D. Take Advantage of Web 2",2010,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Kurz, M. BPM 2",2009,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Reisig, W. Petrinetze, Eine Einführung",1990,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Hoare, A. Communicating Sequential Processes",1978,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Hoare, A. Communicating Sequential Processes",1985,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Milner, R. Communication and Concurrence",1989,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Milner, R. Communicating and Mobile Systems: The Pi-Calculus",1999,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Fischermanns, G. Praxishandbuch Prozessmanagement, Götz Schmidt, Gießen ",2006,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Spark Charts ESL Grammar, A Barnes and Nobles Publication ",2004,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"University of Ottawa, Subject and Predicate, <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /www",2010,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Hansen, P.B. (ed.) The Origin of Concurrent Programming",2002,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Fleischmann, A. Distributed Systems – Software Design and Implementation",1994,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Scheer, A.W. ARIS – Vom Geschäftsprozess zum Anwendungssystem",2002,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Wikipedia, <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /en",2010,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Detel, W. Grundkurs Philosophie, Band 1 Logik, Reclam, Stuttgart ",2007,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Wikipedia, <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /en",2010,0,0,0
Albert Fleischmann,JCOM1 Rohrbach,2009,What Is S-BPM?,"Chao, T., et al. Artifact Based Transformation of IBM Global Financing",2009,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Chakraborthy, D. Extending the reach of business processes",2004,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Heackel, S.S. Adaptive enterprise: Creating and leading sense-AND-respond organizations",1999,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Havey, M. Essential Business Process Modeling",2005,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Laudon, K.-C., Laudon, J.P. Essentials of management information systems: Managing the digital firm, 6th edn",2005,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Lewis, M., Young, B., Mathiassen, L., Rai, A., Welke, R. Business process innovation based on stakeholder perceptions",2007,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Rouse, W.B. (ed.) Enterprise transformation: Understanding and enabling fundamental change",2006,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company",S-Cube Consortium Survey on Business Process Management ,2008,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Spurway, K. The State of BPM: Perspective of an Industry Insider",2010,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Scheer, A.-W. ARIS - Modellierungsmethoden, Metamodelle, Anwendungen, 4th edn",2001,0,0,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,2009,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company","Stephenson, S.V., Sage, A. Architecting for enterprise resource planning",2007,0,0,0
GabrieleKonjack,Vice President Order Processing & Accounting Finanz Informatik Technologie Service,2009,Case Study: AST Order Control Processing,no Author no Title,no Date,0,0,1
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,Potential Building Blocks of S-BPM,"Fleischmann, A. Distributed Systems",1994,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,Potential Building Blocks of S-BPM,"Graef, N., Tölle, N. Evaluation, Mapping and qualitative Reduction of Workflow Pattern ",2009,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,Potential Building Blocks of S-BPM,"Russell, N., ter Hofstede, A.H.M., van der Aalst, W.M.P., Mulyar, N. Workflow Control-Flow Patterns: A Revised View, BPM Center Report-06-022, BPMcenter",2006,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,Potential Building Blocks of S-BPM,"Meyer, B. Object-Oriented Software Construction",1986,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,Potential Building Blocks of S-BPM,"Börger, E., Stärk, R. Abstract State Machines – A Method for High Level System Design and Analysis",2003,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Chakraborthy, D. Extending the reach of business processes",2004,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Heackel, S.S. Adaptive enterprise: Creating and leading sense-AND-respond organizations",1999,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Havey, M. Essential Business Process Modeling",2005,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Laudon, K.-C., Laudon, J.P. Essentials of management information systems: Managing the digital firm, 6th edn",2005,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Lewis, M., Young, B., Mathiassen, L., Rai, A., Welke, R. Business process innovation based on stakeholder perceptions",2007,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Rouse, W.B. (ed.) Enterprise transformation: Understanding and enabling fundamental change",2006,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments",S-Cube Consortium Survey on Business Process Management ,2008,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Spurway, K. The State of BPM: Perspective of an Industry Insider",2010,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Scheer, A.-W. ARIS - Modellierungsmethoden, Metamodelle, Anwendungen, 4th edn",2001,0,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,2009,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments","Stephenson, S.V., Sage, A. Architecting for enterprise resource planning",2007,0,0,0
Ayelt Komus,BPM Laboratory FH Koblenz,2010,Key Lessons from Wikimanagement and BPM Best Practices: Aspiring for a Truly Holistic Approach in BPM,"Pritchard, J.-P., Armistead, C. Business process management – lessons from European business",1999,0,0,0
Ayelt Komus,BPM Laboratory FH Koblenz,2010,Key Lessons from Wikimanagement and BPM Best Practices: Aspiring for a Truly Holistic Approach in BPM,"Palmer, N. 2009 BPM – State of the Market Report",2009,0,0,0
