Autor,Ort,Publikationstitel,Konferenzjahr,Referenzautor + Referenztitel,Referenzjahr,communityflag,memberreference,memberauthor,invalidflag
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Stary, C. Intelligibility Catchers for Self-Managed Knowledge Transfer",2007,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Stary, C. Intelligibility Catchers for Self-Managed Knowledge Transfer",2007,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subject-Oriented Business Process Management",2009,1,1,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subject-Oriented Business Process Management",2009,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Fleischmann, A. Distributed Systems – Software design and Implementations",1994,1,1,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Fleischmann, A. Distributed Systems – Software design and Implementations",1994,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Singer, R. Integration of Microsoft Dynamics NAV 2009 with Process Management Suite jCOM1",2009,1,1,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Singer, R. Integration of Microsoft Dynamics NAV 2009 with Process Management Suite jCOM1",2009,1,1,1,0
Robert Singer,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Ortner, W., Tschandl, M., Zinser, E. Potentials of Service-Oriented Architectures",2007,1,0,1,0
Erwin Zinser,FH JOANNEUM University of Applied Sciences,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,2009,"Ortner, W., Tschandl, M., Zinser, E. Potentials of Service-Oriented Architectures",2007,1,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Konjack, G., Heckmaier, M. AST – Order Control Process",2010,1,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Konjack, G., Heckmaier, M. AST – Order Control Process",2010,1,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Aitenbichler, E. Entwurf und Implementierung eines programmierten Graphersetzungssystems in Java",2000,1,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Application of Subject-Oriented Modeling in Automatic Service Composition,2009,"Aitenbichler, E. Entwurf und Implementierung eines programmierten Graphersetzungssystems in Java",2000,1,0,1,0
Albert Fleischmann,JCOM1 Rohrbach,What Is S-BPM?,2009,"Fleischmann, A. Distributed Systems – Software Design and Implementation",1994,1,1,1,0
Anton Kramm,Valial Solution GmbH Ilmsmünster,"Case Study: The Process Portal – Process-as-a-Service Central Platform for Work-, Information- and Knowledge Processes in the Company",2009,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,1,1,1,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),Potential Building Blocks of S-BPM,2009,"Fleischmann, A. Distributed Systems",1994,1,1,0,0
Christian Stary,Business Informatics – Communications Engineering JKU,"Quo Vadis, S-BPM? The First World-Café on S-BPM Developments",2009,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,1,1,1,0
Ayelt Komus,BPM Laboratory FH Koblenz,Key Lessons from Wikimanagement and BPM Best Practices: Aspiring for a Truly Holistic Approach in BPM,2010,"Komus, A. BPM Best Practice: Erfolgsfaktoren der Prozessorientierung",2011,1,0,0,0
Ayelt Komus,BPM Laboratory FH Koblenz,Key Lessons from Wikimanagement and BPM Best Practices: Aspiring for a Truly Holistic Approach in BPM,2010,"Fleischmann, A. What Is S-BPM? In: Buchwald, H",2010,1,1,0,0
Ayelt Komus,BPM Laboratory FH Koblenz,Key Lessons from Wikimanagement and BPM Best Practices: Aspiring for a Truly Holistic Approach in BPM,2010,"Komus, A., Wauch, F. Wikimanagement: Was Unternehmen von Social Software und Web 2",2008,1,0,0,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Aitenbichler, E., Kangasharju, J., Mühlhäuser, M. MundoCore: A Light-weight Infrastructure for Pervasive Computing",2007,1,0,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Aitenbichler, E., Kangasharju, J., Mühlhäuser, M. MundoCore: A Light-weight Infrastructure for Pervasive Computing",2007,1,0,1,0
Max Mühlhäuser,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Aitenbichler, E., Kangasharju, J., Mühlhäuser, M. MundoCore: A Light-weight Infrastructure for Pervasive Computing",2007,1,0,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Max Mühlhäuser,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Fleischmann, A. Distributed Systems: Software Design and Implementation",1994,1,1,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Fleischmann, A., Lippe, S., Meyer, N., Stary, C. Coherent task modeling and execution based on subject-oriented representations",2009,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Fleischmann, A., Lippe, S., Meyer, N., Stary, C. Coherent task modeling and execution based on subject-oriented representations",2009,1,1,1,0
Max Mühlhäuser,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Fleischmann, A., Lippe, S., Meyer, N., Stary, C. Coherent task modeling and execution based on subject-oriented representations",2009,1,1,1,0
Erwin Aitenbichler,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Stephan Borgert,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Max Mühlhäuser,Technische Universität Darmstadt Darmstadt,Distributed Execution of S-BPM Business Processes,2010,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Barros, A. An Introduction to Service Choreographies",2008,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Barros, A. An Introduction to Service Choreographies",2008,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Barros, A. An Introduction to Service Choreographies",2008,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Barros, A. An Introduction to Service Choreographies",2008,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Barros, A. An Introduction to Service Choreographies",2008,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Pfitzner, K., Weske, M. Modeling Service Choreographies Using BPMN and BPEL4Chor",2008,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Pfitzner, K., Weske, M. Modeling Service Choreographies Using BPMN and BPEL4Chor",2008,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Pfitzner, K., Weske, M. Modeling Service Choreographies Using BPMN and BPEL4Chor",2008,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Pfitzner, K., Weske, M. Modeling Service Choreographies Using BPMN and BPEL4Chor",2008,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Pfitzner, K., Weske, M. Modeling Service Choreographies Using BPMN and BPEL4Chor",2008,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. BPEL4Chor: Extending BPEL for Modeling Choreographies",2007,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. BPEL4Chor: Extending BPEL for Modeling Choreographies",2007,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. BPEL4Chor: Extending BPEL for Modeling Choreographies",2007,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. BPEL4Chor: Extending BPEL for Modeling Choreographies",2007,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. BPEL4Chor: Extending BPEL for Modeling Choreographies",2007,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. Interacting services: From specification to execution",2009,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. Interacting services: From specification to execution",2009,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. Interacting services: From specification to execution",2009,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. Interacting services: From specification to execution",2009,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Decker, G., Kopp, O., Leymann, F., Weske, M. Interacting services: From specification to execution",2009,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2009,1,1,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2009,1,1,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2009,1,1,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2009,1,1,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2009,1,1,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., van Lessen, T., Nitzsche, J. The Need for a Choreography-aware Service Bus",2008,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., van Lessen, T., Nitzsche, J. The Need for a Choreography-aware Service Bus",2008,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., van Lessen, T., Nitzsche, J. The Need for a Choreography-aware Service Bus",2008,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., van Lessen, T., Nitzsche, J. The Need for a Choreography-aware Service Bus",2008,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., van Lessen, T., Nitzsche, J. The Need for a Choreography-aware Service Bus",2008,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wu, F. Mapping interconnection choreography models to interaction choreography models",2010,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wu, F. Mapping interconnection choreography models to interaction choreography models",2010,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wu, F. Mapping interconnection choreography models to interaction choreography models",2010,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wu, F. Mapping interconnection choreography models to interaction choreography models",2010,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wu, F. Mapping interconnection choreography models to interaction choreography models",2010,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wutke, D. Fault handling in the web service stack",2010,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wutke, D. Fault handling in the web service stack",2010,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wutke, D. Fault handling in the web service stack",2010,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wutke, D. Fault handling in the web service stack",2010,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Leymann, F., Wutke, D. Fault handling in the web service stack",2010,1,0,0,0
Oliver Kopp,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Martin, D., Wutke, D., Leymann, F. The Difference Between Graph-Based and Block-Structured Business Process Modelling Languages",2009,1,0,0,0
Lasse Engler,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Martin, D., Wutke, D., Leymann, F. The Difference Between Graph-Based and Block-Structured Business Process Modelling Languages",2009,1,0,0,0
Tammo van Lessen,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Martin, D., Wutke, D., Leymann, F. The Difference Between Graph-Based and Block-Structured Business Process Modelling Languages",2009,1,0,0,0
Frank Leymann,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Martin, D., Wutke, D., Leymann, F. The Difference Between Graph-Based and Block-Structured Business Process Modelling Languages",2009,1,0,0,0
Jörg Nitzsche,Institute of Architecture of Application Systems University of Stuttgart,Interaction Choreography Models in BPEL: Choreographies on the Enterprise Service Bus,2010,"Kopp, O., Martin, D., Wutke, D., Leymann, F. The Difference Between Graph-Based and Block-Structured Business Process Modelling Languages",2009,1,0,0,0
Matthias Kurz,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Kurz, M. BPM 2",2010,1,1,1,0
Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Kurz, M. BPM 2",2010,1,1,1,0
Matthias Kurz,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,1,0
Matthias Kurz,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Fleischmann, A. What is S-BPM? Accepted",2010,1,1,1,0
Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Fleischmann, A. What is S-BPM? Accepted",2010,1,1,1,0
Matthias Kurz,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Kurz, M. BPM 2",2009,1,1,1,0
Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Kurz, M. BPM 2",2009,1,1,1,0
Matthias Kurz,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Billing, G., Kurz, M., Hettling, K., von Jouanne-Diedrich, H. Applying BPM 2",2010,1,1,1,0
Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg and Metasonic AG Pfaffenhofen,BPM 2.0: Business Process Management Meets Empowerment,2010,"Billing, G., Kurz, M., Hettling, K., von Jouanne-Diedrich, H. Applying BPM 2",2010,1,1,1,0
Nils Meyer,Metasonic AG Pfaffenhofen,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,2010,"Fleischmann, A. What is S-BPM Rohrbach ",2009,1,1,1,0
Thomas Feiner,Metasonic AG Pfaffenhofen,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,2010,"Fleischmann, A. What is S-BPM Rohrbach ",2009,1,1,1,0
Markus Radmayr,Metasonic AG Pfaffenhofen,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,2010,"Fleischmann, A. What is S-BPM Rohrbach ",2009,1,1,1,0
Dominik Blei,Metasonic AG Pfaffenhofen,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,2010,"Fleischmann, A. What is S-BPM Rohrbach ",2009,1,1,1,0
Albert Fleischmann,Metasonic AG Pfaffenhofen,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,2010,"Fleischmann, A. What is S-BPM Rohrbach ",2009,1,1,1,0
Konrad Walser,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Heer, I., Walser, K., Wälti, D., Gehrke, J. Agrardatenbankenvernetzung in der Schweiz mittels SOA Das IT-Programm ASA2011 ",2009,1,0,0,0
Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Heer, I., Walser, K., Wälti, D., Gehrke, J. Agrardatenbankenvernetzung in der Schweiz mittels SOA Das IT-Programm ASA2011 ",2009,1,0,0,0
Konrad Walser,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Lenk, K., Schuppan, T., Schaffroth, M. Organisationskonzept für das E-Government Schweiz, White Paper eCH and Federal Strategy Unit for IT ",2010,1,0,0,0
Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Lenk, K., Schuppan, T., Schaffroth, M. Organisationskonzept für das E-Government Schweiz, White Paper eCH and Federal Strategy Unit for IT ",2010,1,0,0,0
Konrad Walser,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Schaffroth, M. Interoperabilität und Geschäftsprozessmanagement im E-Government",2008,1,0,0,0
Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Schaffroth, M. Interoperabilität und Geschäftsprozessmanagement im E-Government",2008,1,0,0,0
Konrad Walser,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Walser, K., Riedl, R. Skizzierung transorganisationaler modularer E-Government-Geschäftsarchitekturen ",2009,1,0,0,0
Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Walser, K., Riedl, R. Skizzierung transorganisationaler modularer E-Government-Geschäftsarchitekturen ",2009,1,0,0,0
Konrad Walser,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,2010,"Walser, K., Schaffroth, B.L. Verwaltungsprozessmanagement unter Ver-wendung des eCH-0096 BPM Starter Kits",2010,1,0,0,0
